,question,subject,main_entity,image_url
1046,This person died at the age of 85 in,Giuseppe Baini,This person,./A photo of Giuseppe Baini
1047,"This company, that was formed in 1894, and the",East Japan Railway Company,"This company,",./A photo of East Japan Railway Company
1048,This region is located in the heart of,Leinster,This region,./A photo of Leinster
1049,This book was written in the early 20th century by a,Le Silence de la mer,This book,./A photo of Le Silence de la mer
1050,This player professionally played the sport of,Pat Tillman,This player,./A photo of Pat Tillman
1051,This character is affiliated with the,Thor,This character,./A photo of Thor
1052,The original language of this book was written in,Yalkut Yosef,this book,./A photo of Yalkut Yosef
1053,The headquarter of this entertainment company is in,WWE,this entertainment,./A photo of WWE
1054,This athlete is a citizen of,Yohann Diniz,This athlete,./A photo of Yohann Diniz
1055,This award is located in the country of,Sydney Peace Prize,This award,./A photo of Sydney Peace Prize
1056,The headquarters of this organization are in the country of,Canadian Cancer Society,this organization,./A photo of Canadian Cancer Society
1057,This person is a native speaker of,Klaas Schilder,This person,./A photo of Klaas Schilder
1058,"In this country, the language spoken is",Ireland,"this country,",./A photo of Ireland
1059,This team is a part of the,Canada men's national soccer team,This team,./A photo of Canada men's national soccer team
1060,This event is in full swing in,Chaos Communication Congress,This event,./A photo of Chaos Communication Congress
1061,The owner of this company is,Epiphone,this company,./A photo of Epiphone
1062,This river belongs to the continent of,Gambia River,This river,./A photo of Gambia River
1063,This person was born in the city of,Chris Stringer,This person,./A photo of Chris Stringer
1064,This software was created by the community and is not supported by,macOS Server,This software,./A photo of macOS Server
1065,This newspaper is written in,L'Aurore,This newspaper,./A photo of L'Aurore
1066,"In this place, the language spoken is a mixture of",Nyon,"this place,",./A photo of Nyon
1067,The language used by this person is a bit of a departure from the usual.,Enzo Cannavale,this person,./A photo of Enzo Cannavale
1068,This journalist is employed by the,Andrew Gilligan,This journalist,./A photo of Andrew Gilligan
1069,The original language of this opera was written in the 14th century by the,Il giuramento,this opera,./A photo of Il giuramento
1070,"This person, who has the position of a",Babylas of Antioch,"This person,",./A photo of Babylas of Antioch
1071,This car model is developed by,Acura ILX,This car,./A photo of Acura ILX
1072,This person's expertise is in the field of,Galen,This person's,./A photo of Galen
1073,This person is employed by the,David Dimbleby,This person,./A photo of David Dimbleby
1074,This player plays in the position of a,George Mihai Florescu,This player,./A photo of George Mihai Florescu
1075,This airline is located in the country of,TUIfly Nordic,This airline,./A photo of TUIfly Nordic
1076,This series was created in the country of his birth.,Paanch,This series,./A photo of Paanch
1077,This place can be found in the south-west of,North Berwick,This place,./A photo of North Berwick
1078,The native language of this person is,Anne-Marie Idrac,this person,./A photo of Anne-Marie Idrac
1079,This person holds the position of the first,Saint Valentine,This person,./A photo of Saint Valentine
1080,This person does not use the same language as the,Guido Pieters,This person,./A photo of Guido Pieters
1081,This place is located in the country of,Valdemarsvik,This place,./A photo of Valdemarsvik
1082,This vehicle is developed by,Acura RDX,This vehicle,./A photo of Acura RDX
1083,The headquarters of this company are in,Pennzoil,this company,./A photo of Pennzoil
1084,This operating system is developed by,Windows Me,This operating,./A photo of Windows Me
1085,This player plays in the position of the left-handed.,Masaichi Kaneda,This player,./A photo of Masaichi Kaneda
1086,This person died in the city of,Rutland Barrington,This person,./A photo of Rutland Barrington
1087,This person is affiliated with the religion of,Muhammad al-Bukhari,This person,./A photo of Muhammad al-Bukhari
1088,This operating system is developed by,OS X Yosemite,This operating,./A photo of OS X Yosemite
1089,The headquarters of this company are in the heart of downtown.,Faygo,this company,./A photo of Faygo
1090,This person was born in the city of,Adam Kendon,This person,./A photo of Adam Kendon
1091,"This person, who is employed by",Craig Federighi,"This person,",./A photo of Craig Federighi
1092,This person's profession is an,Ryu Hyeon-kyeong,This person's,./A photo of Ryu Hyeon-kyeong
1093,This person worked in the city of,Gianfranco Fini,This person,./A photo of Gianfranco Fini
1094,This film was created in the country of his birth.,Lage Raho Munna Bhai,This film,./A photo of Lage Raho Munna Bhai
1095,The owner of this service is,Bing Maps,this service,./A photo of Bing Maps
1096,The owner of this network is,Showtime Networks,this network,./A photo of Showtime Networks
1097,This composer was born in the city of,Mehdi Hosseini,This composer,./A photo of Mehdi Hosseini
1098,The capital of this state is,Hawaii,this state,./A photo of Hawaii
1099,This company is owned by,Yammer,This company,./A photo of Yammer
1100,"In this place, located in the south of",Andheri,"this place,",./A photo of Andheri
1101,This person worked in the city of,Yitzhak Ben-Zvi,This person,./A photo of Yitzhak Ben-Zvi
1102,This person has the position of the first,William Bernard Ullathorne,This person,./A photo of William Bernard Ullathorne
1103,The headquarter of this company is in,EMI,this company,./A photo of EMI
1104,This person worked in the city of,George Newnes,This person,./A photo of George Newnes
1105,This person's profession is an,Choi Myeong-gil,This person's,./A photo of Choi Myeong-gil
1106,This player plays in the position of,Drew Brees,This player,./A photo of Drew Brees
1107,This handheld console is developed by,Game & Watch,This handheld,./A photo of Game & Watch
1108,This film was created in the country of,Nonchan Noriben,This film,./A photo of Nonchan Noriben
1109,This museum is located in the city of,Bavarian National Museum,This museum,./A photo of Bavarian National Museum
1110,This highway is known to be the most popular route in,Bundesautobahn 4,This highway,./A photo of Bundesautobahn 4
1111,"This artist, who has a citizenship of",Masaccio,"This artist,",./A photo of Masaccio
1112,This album is written in,Mas Canciones,This album,./A photo of Mas Canciones
1113,This person follows the religion of,Ahmed Zewail,This person,./A photo of Ahmed Zewail
1114,This character was created in the country of his birth.,Velayudham,This character,./A photo of Velayudham
1115,This person was born in,Umberto Guidoni,This person,./A photo of Umberto Guidoni
1116,This highway is the most popular route in,Bundesautobahn 14,This highway,./A photo of Bundesautobahn 14
1117,This person speaks to the media after his arrest in the region of,Osvaldo Genazzani,This person,./A photo of Osvaldo Genazzani
1118,This person worked in the city of,Francesco Rutelli,This person,./A photo of Francesco Rutelli
1119,"This person, who holds the position of the first",Photinus of Sirmium,"This person,",./A photo of Photinus of Sirmium
1120,The language of this person is a mixture of,Dwynwen,this person,./A photo of Dwynwen
1121,The capital of this region is the city of,Veneto,this region,./A photo of Veneto
1122,The headquarters of this publication are in,Mercure de France,this publication,./A photo of Mercure de France
1123,The capital of this former kingdom is,Kingdom of Iraq,this former,./A photo of Kingdom of Iraq
1124,"In this city, the language spoken is a mix of",Patna,"this city,",./A photo of Patna
1125,This company is located in the country of,Bouygues Telecom,This company,./A photo of Bouygues Telecom
1126,This coach professionally played the sport of,Phil Jackson,This coach,./A photo of Phil Jackson
1127,This person follows the religion of,Al-Mahdi,This person,./A photo of Al-Mahdi
1128,"This person, who has the position of a",Eusebius of Vercelli,"This person,",./A photo of Eusebius of Vercelli
1129,This country belongs to the continent of,Irish Free State,This country,./A photo of Irish Free State
1130,This person follows the religion of,Sultan Satuq Bughra Khan,This person,./A photo of Sultan Satuq Bughra Khan
1131,This show was originally aired on,Scooby Doo,This show,./A photo of Scooby Doo
1132,This player plays in the position of,Yogi Berra,This player,./A photo of Yogi Berra
1133,"In this place, the language spoken is",Chiasso,"this place,",./A photo of Chiasso
1134,This stadium is located in the heart of the city of,Panathenaic Stadium,This stadium,./A photo of Panathenaic Stadium
1135,This organization is a part of the,Italian Football Federation,This organization,./A photo of Italian Football Federation
1136,This person worked in the city of,"Jennie Lee, Baroness Lee of Asheridge",This person,"./A photo of Jennie Lee, Baroness Lee of Asheridge"
1137,This car model is developed by,Acura TL,This car,./A photo of Acura TL
1138,This player professionally plays the sport of,Marco Di Vaio,This player,./A photo of Marco Di Vaio
1139,"This car, produced by",Alfa Romeo 6C,"This car,",./A photo of Alfa Romeo 6C
1140,This person holds the position of a,Rupert of Salzburg,This person,./A photo of Rupert of Salzburg
1141,"This person plays as a striker, but they are also a",Luis del Sol,This person,./A photo of Luis del Sol
1142,This item was a product of the same era as the first,Books,This item,./A photo of Books
1143,This athlete professionally plays the sport of,Brett Hull,This athlete,./A photo of Brett Hull
1144,The location of this university is in the heart of the city of,Concordia University,this university,./A photo of Concordia University
1145,This series was created in the country of,Saikano,This series,./A photo of Saikano
1146,The native language of this person is,Louis-Nicolas Davout,this person,./A photo of Louis-Nicolas Davout
1147,This person's domain of work is the world of,Akira Toriyama,This person's,./A photo of Akira Toriyama
1148,This player professionally plays the sport of,Boris Diaw,This player,./A photo of Boris Diaw
1149,The capital of this dynasty was,Qing dynasty,this dynasty,./A photo of Qing dynasty
1150,This format is a product developed by,WebM,This format,./A photo of WebM
1151,This politician worked in the city of,David Cameron,This politician,./A photo of David Cameron
1152,This person is affiliated with the religion of,Muhammad,This person,./A photo of Muhammad
1153,"This band, that was created in the wake of the year of",Bhayanak Maut,"This band,",./A photo of Bhayanak Maut
1154,The headquarters of this university are in,University of Washington,this university,./A photo of University of Washington
1155,This place is located in the southern part of,Lopburi,This place,./A photo of Lopburi
1156,This place is located in the country of,Honnavar,This place,./A photo of Honnavar
1157,This show was originally aired on the,The Biskitts,This show,./A photo of The Biskitts
1158,This college is located in,Patrick Henry College,This college,./A photo of Patrick Henry College
1159,"This person held the position of a ""superior"" in the context of",Pius VI,This person,./A photo of Pius VI
1160,This stadium is owned by the city of,Stadio Flaminio,This stadium,./A photo of Stadio Flaminio
1161,The headquarters of this board are in,Liquor Control Board of Ontario,this board,./A photo of Liquor Control Board of Ontario
1162,This broadcast premieres on,Sunday Night Baseball,This broadcast,./A photo of Sunday Night Baseball
1163,This person is originally from,Miyuki Sawashiro,This person,./A photo of Miyuki Sawashiro
1164,This person died in the city of,Leon Brittan,This person,./A photo of Leon Brittan
1165,The original language of this film is a mixture of,Voyage to Cythera,this film,./A photo of Voyage to Cythera
1166,This river belongs to the continent of,Rufiji River,This river,./A photo of Rufiji River
1167,This show debuted on,Rowan & Martin's Laugh-In,This show,./A photo of Rowan & Martin's Laugh-In
1168,This place belongs to the continent of,Cape Adams,This place,./A photo of Cape Adams
1169,This aircraft is developed by the,B-47 Stratojet,This aircraft,./A photo of B-47 Stratojet
1170,This venue is owned by the,American Airlines Center,This venue,./A photo of American Airlines Center
1171,This phone is developed by,iPhone 4s,This phone,./A photo of iPhone 4s
1172,This highway is the most popular route in,Bundesautobahn 3,This highway,./A photo of Bundesautobahn 3
1173,This person is a native speaker of,Yvan Goll,This person,./A photo of Yvan Goll
1174,This administrative division is located in the country of,Gmina Kleczew,This administrative,./A photo of Gmina Kleczew
1175,This person works as a,Janet Jackson,This person,./A photo of Janet Jackson
1176,This person originates from the city of,Boniface III,This person,./A photo of Boniface III
1177,This literary form is written in the style of a traditional,Skaz,This literary,./A photo of Skaz
1178,This person's profession is an,Daiki Arioka,This person's,./A photo of Daiki Arioka
1179,This organization's headquarters are in,Indian Space Research Organisation,This organization's,./A photo of Indian Space Research Organisation
1180,"This person, who has a citizenship of",Bhaktisiddhanta Saraswati,"This person,",./A photo of Bhaktisiddhanta Saraswati
1181,This show was originally aired on the,Elizabeth R,This show,./A photo of Elizabeth R
1182,The native language of this person is,Hendrikus Colijn,this person,./A photo of Hendrikus Colijn
1183,This brand originated in the country of,Givenchy,This brand,./A photo of Givenchy
1184,This athlete professionally plays the sport of,Roger Staubach,This athlete,./A photo of Roger Staubach
1185,This player professionally plays the sport of,Teemu Sälännä,This player,./A photo of Teemu Sälännä
1186,This person is employed by,Ray Kurzweil,This person,./A photo of Ray Kurzweil
1187,This model works in the field of,statistical model,This model,./A photo of statistical model
1188,The location of this event is in,2013 Australian Open,this event,./A photo of 2013 Australian Open
1189,This operating system is developed by,Windows 95,This operating,./A photo of Windows 95
1190,This vehicle is produced by,Jeep Wrangler,This vehicle,./A photo of Jeep Wrangler
1191,This game is developed by,Final Fantasy Legend III,This game,./A photo of Final Fantasy Legend III
1192,This person is employed by,Scott Forstall,This person,./A photo of Scott Forstall
1193,This person was born in the city of,Giovanni Sgambati,This person,./A photo of Giovanni Sgambati
1194,This person's native language is  ,Pierre Alcover,This person's,./A photo of Pierre Alcover
1195,This person has a citizenship of the country of,Gianni Ferrio,This person,./A photo of Gianni Ferrio
1196,This person is a citizen of,Henryk Sienkiewicz,This person,./A photo of Henryk Sienkiewicz
1197,The original language of this series is a mixture of,La Fontaine's Fables,this series,./A photo of La Fontaine's Fables
1198,This newspaper is written in,Aftonbladet,This newspaper,./A photo of Aftonbladet
1199,This athlete plays in the position of,Kyle Farnsworth,This athlete,./A photo of Kyle Farnsworth
1200,"This person, whose position is that of a superior",Gregory XVI,"This person,",./A photo of Gregory XVI
1201,This show originally aired on,My Sister Sam,This show,./A photo of My Sister Sam
1202,This hotel is located in the heart of the city of,Devonshire Arms,This hotel,./A photo of Devonshire Arms
1203,This show premieres on,Ballers,This show,./A photo of Ballers
